category;dataset;variable;period;scenario;sub_period;start_year;end_year;attribute;focal;variable_long;unit;path;valid
bioclim;chclim25;bio10;future;rcp85;2020_2049;2020;2049;NA;NA;mean temperature of warmest quarter;degree Celsius;./bioclim/chclim25/future/2020_2049/rcp85/bio10/bioclim_chclim25_future_2020_2049_rcp85_bio10.tif;yes
bioclim;chclim25;bio10;future;rcp85;2070_2099;2070;2099;NA;NA;mean temperature of warmest quarter;degree Celsius;./bioclim/chclim25/future/2070_2099/rcp85/bio10/bioclim_chclim25_future_2070_2099_rcp85_bio10.tif;yes
bioclim;chclim25;bio10;future;rcp85;2045_2070;2045;2070;NA;NA;mean temperature of warmest quarter;degree Celsius;./bioclim/chclim25/future/2045_2070/rcp85/bio10/bioclim_chclim25_future_2045_2070_rcp85_bio10.tif;yes
bioclim;chclim25;bio10;future;rcp26;2070_2099;2070;2099;NA;NA;mean temperature of warmest quarter;degree Celsius;./bioclim/chclim25/future/2070_2099/rcp26/bio10/bioclim_chclim25_future_2070_2099_rcp26_bio10.tif;yes
bioclim;chclim25;bio10;future;rcp45;2070_2099;2070;2099;NA;NA;mean temperature of warmest quarter;degree Celsius;./bioclim/chclim25/future/2070_2099/rcp45/bio10/bioclim_chclim25_future_2070_2099_rcp45_bio10.tif;yes
bioclim;chclim25;bio10;future;rcp45;2020_2049;2020;2049;NA;NA;mean temperature of warmest quarter;degree Celsius;./bioclim/chclim25/future/2020_2049/rcp45/bio10/bioclim_chclim25_future_2020_2049_rcp45_bio10.tif;yes
bioclim;chclim25;bio10;present;NA;1981_2010;1981;2010;NA;NA;mean temperature of warmest quarter;degree Celsius;./bioclim/chclim25/present/1981_2010/bio10/bioclim_chclim25_present_1981_2010_bio10.tif;yes
bioclim;chclim25;bio10;future;rcp26;2020_2049;2020;2049;NA;NA;mean temperature of warmest quarter;degree Celsius;./bioclim/chclim25/future/2020_2049/rcp26/bio10/bioclim_chclim25_future_2020_2049_rcp26_bio10.tif;yes
bioclim;chclim25;bio10;future;rcp45;2045_2070;2045;2070;NA;NA;mean temperature of warmest quarter;degree Celsius;./bioclim/chclim25/future/2045_2070/rcp45/bio10/bioclim_chclim25_future_2045_2070_rcp45_bio10.tif;yes
bioclim;chclim25;bio10;future;rcp26;2045_2070;2045;2070;NA;NA;mean temperature of warmest quarter;degree Celsius;./bioclim/chclim25/future/2045_2070/rcp26/bio10/bioclim_chclim25_future_2045_2070_rcp26_bio10.tif;yes
bioclim;chclim25;bio11;future;rcp85;2070_2099;2070;2099;NA;NA;mean temperature of coldest quarter;degree Celsius;./bioclim/chclim25/future/2070_2099/rcp85/bio11/bioclim_chclim25_future_2070_2099_rcp85_bio11.tif;yes
bioclim;chclim25;bio11;future;rcp45;2070_2099;2070;2099;NA;NA;mean temperature of coldest quarter;degree Celsius;./bioclim/chclim25/future/2070_2099/rcp45/bio11/bioclim_chclim25_future_2070_2099_rcp45_bio11.tif;yes
bioclim;chclim25;bio11;future;rcp45;2020_2049;2020;2049;NA;NA;mean temperature of coldest quarter;degree Celsius;./bioclim/chclim25/future/2020_2049/rcp45/bio11/bioclim_chclim25_future_2020_2049_rcp45_bio11.tif;yes
bioclim;chclim25;bio11;future;rcp26;2020_2049;2020;2049;NA;NA;mean temperature of coldest quarter;degree Celsius;./bioclim/chclim25/future/2020_2049/rcp26/bio11/bioclim_chclim25_future_2020_2049_rcp26_bio11.tif;yes
bioclim;chclim25;bio11;future;rcp85;2020_2049;2020;2049;NA;NA;mean temperature of coldest quarter;degree Celsius;./bioclim/chclim25/future/2020_2049/rcp85/bio11/bioclim_chclim25_future_2020_2049_rcp85_bio11.tif;yes
bioclim;chclim25;bio11;future;rcp85;2045_2070;2045;2070;NA;NA;mean temperature of coldest quarter;degree Celsius;./bioclim/chclim25/future/2045_2070/rcp85/bio11/bioclim_chclim25_future_2045_2070_rcp85_bio11.tif;yes
bioclim;chclim25;bio11;future;rcp26;2070_2099;2070;2099;NA;NA;mean temperature of coldest quarter;degree Celsius;./bioclim/chclim25/future/2070_2099/rcp26/bio11/bioclim_chclim25_future_2070_2099_rcp26_bio11.tif;yes
bioclim;chclim25;bio11;future;rcp45;2045_2070;2045;2070;NA;NA;mean temperature of coldest quarter;degree Celsius;./bioclim/chclim25/future/2045_2070/rcp45/bio11/bioclim_chclim25_future_2045_2070_rcp45_bio11.tif;yes
bioclim;chclim25;bio11;future;rcp26;2045_2070;2045;2070;NA;NA;mean temperature of coldest quarter;degree Celsius;./bioclim/chclim25/future/2045_2070/rcp26/bio11/bioclim_chclim25_future_2045_2070_rcp26_bio11.tif;yes
bioclim;chclim25;bio11;present;NA;1981_2010;1981;2010;NA;NA;mean temperature of coldest quarter;degree Celsius;./bioclim/chclim25/present/1981_2010/bio11/bioclim_chclim25_present_1981_2010_bio11.tif;yes
bioclim;chclim25;bio12;future;rcp45;2070_2099;2070;2099;NA;NA;annual precipitation;millimeter;./bioclim/chclim25/future/2070_2099/rcp45/bio12/bioclim_chclim25_future_2070_2099_rcp45_bio12.tif;yes
bioclim;chclim25;bio12;future;rcp26;2070_2099;2070;2099;NA;NA;annual precipitation;millimeter;./bioclim/chclim25/future/2070_2099/rcp26/bio12/bioclim_chclim25_future_2070_2099_rcp26_bio12.tif;yes
bioclim;chclim25;bio12;future;rcp85;2045_2070;2045;2070;NA;NA;annual precipitation;millimeter;./bioclim/chclim25/future/2045_2070/rcp85/bio12/bioclim_chclim25_future_2045_2070_rcp85_bio12.tif;yes
bioclim;chclim25;bio12;future;rcp85;2070_2099;2070;2099;NA;NA;annual precipitation;millimeter;./bioclim/chclim25/future/2070_2099/rcp85/bio12/bioclim_chclim25_future_2070_2099_rcp85_bio12.tif;yes
bioclim;chclim25;bio12;future;rcp26;2045_2070;2045;2070;NA;NA;annual precipitation;millimeter;./bioclim/chclim25/future/2045_2070/rcp26/bio12/bioclim_chclim25_future_2045_2070_rcp26_bio12.tif;yes
bioclim;chclim25;bio12;present;NA;1981_2010;1981;2010;NA;NA;annual precipitation;millimeter;./bioclim/chclim25/present/1981_2010/bio12/bioclim_chclim25_present_1981_2010_bio12.tif;yes
bioclim;chclim25;bio12;future;rcp45;2020_2049;2020;2049;NA;NA;annual precipitation;millimeter;./bioclim/chclim25/future/2020_2049/rcp45/bio12/bioclim_chclim25_future_2020_2049_rcp45_bio12.tif;yes
bioclim;chclim25;bio12;future;rcp85;2020_2049;2020;2049;NA;NA;annual precipitation;millimeter;./bioclim/chclim25/future/2020_2049/rcp85/bio12/bioclim_chclim25_future_2020_2049_rcp85_bio12.tif;yes
bioclim;chclim25;bio12;future;rcp26;2020_2049;2020;2049;NA;NA;annual precipitation;millimeter;./bioclim/chclim25/future/2020_2049/rcp26/bio12/bioclim_chclim25_future_2020_2049_rcp26_bio12.tif;yes
bioclim;chclim25;bio12;future;rcp45;2045_2070;2045;2070;NA;NA;annual precipitation;millimeter;./bioclim/chclim25/future/2045_2070/rcp45/bio12/bioclim_chclim25_future_2045_2070_rcp45_bio12.tif;yes
bioclim;chclim25;bio13;future;rcp26;2070_2099;2070;2099;NA;NA;precipitation of wettest month;millimeter;./bioclim/chclim25/future/2070_2099/rcp26/bio13/bioclim_chclim25_future_2070_2099_rcp26_bio13.tif;yes
bioclim;chclim25;bio13;future;rcp85;2070_2099;2070;2099;NA;NA;precipitation of wettest month;millimeter;./bioclim/chclim25/future/2070_2099/rcp85/bio13/bioclim_chclim25_future_2070_2099_rcp85_bio13.tif;yes
bioclim;chclim25;bio13;future;rcp45;2070_2099;2070;2099;NA;NA;precipitation of wettest month;millimeter;./bioclim/chclim25/future/2070_2099/rcp45/bio13/bioclim_chclim25_future_2070_2099_rcp45_bio13.tif;yes
bioclim;chclim25;bio13;future;rcp85;2020_2049;2020;2049;NA;NA;precipitation of wettest month;millimeter;./bioclim/chclim25/future/2020_2049/rcp85/bio13/bioclim_chclim25_future_2020_2049_rcp85_bio13.tif;yes
bioclim;chclim25;bio13;future;rcp26;2020_2049;2020;2049;NA;NA;precipitation of wettest month;millimeter;./bioclim/chclim25/future/2020_2049/rcp26/bio13/bioclim_chclim25_future_2020_2049_rcp26_bio13.tif;yes
bioclim;chclim25;bio13;future;rcp85;2045_2070;2045;2070;NA;NA;precipitation of wettest month;millimeter;./bioclim/chclim25/future/2045_2070/rcp85/bio13/bioclim_chclim25_future_2045_2070_rcp85_bio13.tif;yes
bioclim;chclim25;bio13;future;rcp45;2045_2070;2045;2070;NA;NA;precipitation of wettest month;millimeter;./bioclim/chclim25/future/2045_2070/rcp45/bio13/bioclim_chclim25_future_2045_2070_rcp45_bio13.tif;yes
bioclim;chclim25;bio13;future;rcp45;2020_2049;2020;2049;NA;NA;precipitation of wettest month;millimeter;./bioclim/chclim25/future/2020_2049/rcp45/bio13/bioclim_chclim25_future_2020_2049_rcp45_bio13.tif;yes
bioclim;chclim25;bio13;future;rcp26;2045_2070;2045;2070;NA;NA;precipitation of wettest month;millimeter;./bioclim/chclim25/future/2045_2070/rcp26/bio13/bioclim_chclim25_future_2045_2070_rcp26_bio13.tif;yes
bioclim;chclim25;bio13;present;NA;1981_2010;1981;2010;NA;NA;precipitation of wettest month;millimeter;./bioclim/chclim25/present/1981_2010/bio13/bioclim_chclim25_present_1981_2010_bio13.tif;yes
bioclim;chclim25;bio14;future;rcp26;2070_2099;2070;2099;NA;NA;precipitation of driest month;millimeter;./bioclim/chclim25/future/2070_2099/rcp26/bio14/bioclim_chclim25_future_2070_2099_rcp26_bio14.tif;yes
bioclim;chclim25;bio14;future;rcp85;2045_2070;2045;2070;NA;NA;precipitation of driest month;millimeter;./bioclim/chclim25/future/2045_2070/rcp85/bio14/bioclim_chclim25_future_2045_2070_rcp85_bio14.tif;yes
bioclim;chclim25;bio14;future;rcp45;2070_2099;2070;2099;NA;NA;precipitation of driest month;millimeter;./bioclim/chclim25/future/2070_2099/rcp45/bio14/bioclim_chclim25_future_2070_2099_rcp45_bio14.tif;yes
bioclim;chclim25;bio14;future;rcp85;2020_2049;2020;2049;NA;NA;precipitation of driest month;millimeter;./bioclim/chclim25/future/2020_2049/rcp85/bio14/bioclim_chclim25_future_2020_2049_rcp85_bio14.tif;yes
bioclim;chclim25;bio14;future;rcp85;2070_2099;2070;2099;NA;NA;precipitation of driest month;millimeter;./bioclim/chclim25/future/2070_2099/rcp85/bio14/bioclim_chclim25_future_2070_2099_rcp85_bio14.tif;yes
bioclim;chclim25;bio14;future;rcp45;2045_2070;2045;2070;NA;NA;precipitation of driest month;millimeter;./bioclim/chclim25/future/2045_2070/rcp45/bio14/bioclim_chclim25_future_2045_2070_rcp45_bio14.tif;yes
bioclim;chclim25;bio14;future;rcp45;2020_2049;2020;2049;NA;NA;precipitation of driest month;millimeter;./bioclim/chclim25/future/2020_2049/rcp45/bio14/bioclim_chclim25_future_2020_2049_rcp45_bio14.tif;yes
bioclim;chclim25;bio14;future;rcp26;2020_2049;2020;2049;NA;NA;precipitation of driest month;millimeter;./bioclim/chclim25/future/2020_2049/rcp26/bio14/bioclim_chclim25_future_2020_2049_rcp26_bio14.tif;yes
bioclim;chclim25;bio14;future;rcp26;2045_2070;2045;2070;NA;NA;precipitation of driest month;millimeter;./bioclim/chclim25/future/2045_2070/rcp26/bio14/bioclim_chclim25_future_2045_2070_rcp26_bio14.tif;yes
bioclim;chclim25;bio14;present;NA;1981_2010;1981;2010;NA;NA;precipitation of driest month;millimeter;./bioclim/chclim25/present/1981_2010/bio14/bioclim_chclim25_present_1981_2010_bio14.tif;yes
bioclim;chclim25;bio15;future;rcp26;2070_2099;2070;2099;NA;NA;precipitation seasonality (coefficient of variation);coefficient of variation;./bioclim/chclim25/future/2070_2099/rcp26/bio15/bioclim_chclim25_future_2070_2099_rcp26_bio15.tif;yes
bioclim;chclim25;bio15;future;rcp85;2045_2070;2045;2070;NA;NA;precipitation seasonality (coefficient of variation);coefficient of variation;./bioclim/chclim25/future/2045_2070/rcp85/bio15/bioclim_chclim25_future_2045_2070_rcp85_bio15.tif;yes
bioclim;chclim25;bio15;future;rcp45;2045_2070;2045;2070;NA;NA;precipitation seasonality (coefficient of variation);coefficient of variation;./bioclim/chclim25/future/2045_2070/rcp45/bio15/bioclim_chclim25_future_2045_2070_rcp45_bio15.tif;yes
bioclim;chclim25;bio15;future;rcp45;2070_2099;2070;2099;NA;NA;precipitation seasonality (coefficient of variation);coefficient of variation;./bioclim/chclim25/future/2070_2099/rcp45/bio15/bioclim_chclim25_future_2070_2099_rcp45_bio15.tif;yes
bioclim;chclim25;bio15;future;rcp26;2045_2070;2045;2070;NA;NA;precipitation seasonality (coefficient of variation);coefficient of variation;./bioclim/chclim25/future/2045_2070/rcp26/bio15/bioclim_chclim25_future_2045_2070_rcp26_bio15.tif;yes
bioclim;chclim25;bio15;future;rcp85;2070_2099;2070;2099;NA;NA;precipitation seasonality (coefficient of variation);coefficient of variation;./bioclim/chclim25/future/2070_2099/rcp85/bio15/bioclim_chclim25_future_2070_2099_rcp85_bio15.tif;yes
bioclim;chclim25;bio15;present;NA;1981_2010;1981;2010;NA;NA;precipitation seasonality (coefficient of variation);coefficient of variation;./bioclim/chclim25/present/1981_2010/bio15/bioclim_chclim25_present_1981_2010_bio15.tif;yes
bioclim;chclim25;bio15;future;rcp85;2020_2049;2020;2049;NA;NA;precipitation seasonality (coefficient of variation);coefficient of variation;./bioclim/chclim25/future/2020_2049/rcp85/bio15/bioclim_chclim25_future_2020_2049_rcp85_bio15.tif;yes
bioclim;chclim25;bio15;future;rcp26;2020_2049;2020;2049;NA;NA;precipitation seasonality (coefficient of variation);coefficient of variation;./bioclim/chclim25/future/2020_2049/rcp26/bio15/bioclim_chclim25_future_2020_2049_rcp26_bio15.tif;yes
bioclim;chclim25;bio15;future;rcp45;2020_2049;2020;2049;NA;NA;precipitation seasonality (coefficient of variation);coefficient of variation;./bioclim/chclim25/future/2020_2049/rcp45/bio15/bioclim_chclim25_future_2020_2049_rcp45_bio15.tif;yes
bioclim;chclim25;bio16;future;rcp85;2045_2070;2045;2070;NA;NA;precipitation of wettest quarter;millimeter;./bioclim/chclim25/future/2045_2070/rcp85/bio16/bioclim_chclim25_future_2045_2070_rcp85_bio16.tif;yes
bioclim;chclim25;bio16;future;rcp85;2070_2099;2070;2099;NA;NA;precipitation of wettest quarter;millimeter;./bioclim/chclim25/future/2070_2099/rcp85/bio16/bioclim_chclim25_future_2070_2099_rcp85_bio16.tif;yes
bioclim;chclim25;bio16;future;rcp45;2070_2099;2070;2099;NA;NA;precipitation of wettest quarter;millimeter;./bioclim/chclim25/future/2070_2099/rcp45/bio16/bioclim_chclim25_future_2070_2099_rcp45_bio16.tif;yes
bioclim;chclim25;bio16;future;rcp85;2020_2049;2020;2049;NA;NA;precipitation of wettest quarter;millimeter;./bioclim/chclim25/future/2020_2049/rcp85/bio16/bioclim_chclim25_future_2020_2049_rcp85_bio16.tif;yes
bioclim;chclim25;bio16;future;rcp26;2070_2099;2070;2099;NA;NA;precipitation of wettest quarter;millimeter;./bioclim/chclim25/future/2070_2099/rcp26/bio16/bioclim_chclim25_future_2070_2099_rcp26_bio16.tif;yes
bioclim;chclim25;bio16;future;rcp26;2020_2049;2020;2049;NA;NA;precipitation of wettest quarter;millimeter;./bioclim/chclim25/future/2020_2049/rcp26/bio16/bioclim_chclim25_future_2020_2049_rcp26_bio16.tif;yes
bioclim;chclim25;bio16;future;rcp26;2045_2070;2045;2070;NA;NA;precipitation of wettest quarter;millimeter;./bioclim/chclim25/future/2045_2070/rcp26/bio16/bioclim_chclim25_future_2045_2070_rcp26_bio16.tif;yes
bioclim;chclim25;bio16;future;rcp45;2020_2049;2020;2049;NA;NA;precipitation of wettest quarter;millimeter;./bioclim/chclim25/future/2020_2049/rcp45/bio16/bioclim_chclim25_future_2020_2049_rcp45_bio16.tif;yes
bioclim;chclim25;bio16;future;rcp45;2045_2070;2045;2070;NA;NA;precipitation of wettest quarter;millimeter;./bioclim/chclim25/future/2045_2070/rcp45/bio16/bioclim_chclim25_future_2045_2070_rcp45_bio16.tif;yes
bioclim;chclim25;bio16;present;NA;1981_2010;1981;2010;NA;NA;precipitation of wettest quarter;millimeter;./bioclim/chclim25/present/1981_2010/bio16/bioclim_chclim25_present_1981_2010_bio16.tif;yes
bioclim;chclim25;bio17;future;rcp45;2045_2070;2045;2070;NA;NA;precipitation of driest quarter;millimeter;./bioclim/chclim25/future/2045_2070/rcp45/bio17/bioclim_chclim25_future_2045_2070_rcp45_bio17.tif;yes
bioclim;chclim25;bio17;future;rcp26;2045_2070;2045;2070;NA;NA;precipitation of driest quarter;millimeter;./bioclim/chclim25/future/2045_2070/rcp26/bio17/bioclim_chclim25_future_2045_2070_rcp26_bio17.tif;yes
bioclim;chclim25;bio17;future;rcp45;2070_2099;2070;2099;NA;NA;precipitation of driest quarter;millimeter;./bioclim/chclim25/future/2070_2099/rcp45/bio17/bioclim_chclim25_future_2070_2099_rcp45_bio17.tif;yes
bioclim;chclim25;bio17;future;rcp85;2045_2070;2045;2070;NA;NA;precipitation of driest quarter;millimeter;./bioclim/chclim25/future/2045_2070/rcp85/bio17/bioclim_chclim25_future_2045_2070_rcp85_bio17.tif;yes
bioclim;chclim25;bio17;future;rcp26;2070_2099;2070;2099;NA;NA;precipitation of driest quarter;millimeter;./bioclim/chclim25/future/2070_2099/rcp26/bio17/bioclim_chclim25_future_2070_2099_rcp26_bio17.tif;yes
bioclim;chclim25;bio17;present;NA;1981_2010;1981;2010;NA;NA;precipitation of driest quarter;millimeter;./bioclim/chclim25/present/1981_2010/bio17/bioclim_chclim25_present_1981_2010_bio17.tif;yes
bioclim;chclim25;bio17;future;rcp26;2020_2049;2020;2049;NA;NA;precipitation of driest quarter;millimeter;./bioclim/chclim25/future/2020_2049/rcp26/bio17/bioclim_chclim25_future_2020_2049_rcp26_bio17.tif;yes
bioclim;chclim25;bio17;future;rcp85;2020_2049;2020;2049;NA;NA;precipitation of driest quarter;millimeter;./bioclim/chclim25/future/2020_2049/rcp85/bio17/bioclim_chclim25_future_2020_2049_rcp85_bio17.tif;yes
bioclim;chclim25;bio17;future;rcp85;2070_2099;2070;2099;NA;NA;precipitation of driest quarter;millimeter;./bioclim/chclim25/future/2070_2099/rcp85/bio17/bioclim_chclim25_future_2070_2099_rcp85_bio17.tif;yes
bioclim;chclim25;bio17;future;rcp45;2020_2049;2020;2049;NA;NA;precipitation of driest quarter;millimeter;./bioclim/chclim25/future/2020_2049/rcp45/bio17/bioclim_chclim25_future_2020_2049_rcp45_bio17.tif;yes
bioclim;chclim25;bio18;future;rcp45;2045_2070;2045;2070;NA;NA;precipitation of warmest quarter;millimeter;./bioclim/chclim25/future/2045_2070/rcp45/bio18/bioclim_chclim25_future_2045_2070_rcp45_bio18.tif;yes
bioclim;chclim25;bio18;future;rcp45;2070_2099;2070;2099;NA;NA;precipitation of warmest quarter;millimeter;./bioclim/chclim25/future/2070_2099/rcp45/bio18/bioclim_chclim25_future_2070_2099_rcp45_bio18.tif;yes
bioclim;chclim25;bio18;future;rcp26;2045_2070;2045;2070;NA;NA;precipitation of warmest quarter;millimeter;./bioclim/chclim25/future/2045_2070/rcp26/bio18/bioclim_chclim25_future_2045_2070_rcp26_bio18.tif;yes
bioclim;chclim25;bio18;future;rcp26;2070_2099;2070;2099;NA;NA;precipitation of warmest quarter;millimeter;./bioclim/chclim25/future/2070_2099/rcp26/bio18/bioclim_chclim25_future_2070_2099_rcp26_bio18.tif;yes
bioclim;chclim25;bio18;future;rcp26;2020_2049;2020;2049;NA;NA;precipitation of warmest quarter;millimeter;./bioclim/chclim25/future/2020_2049/rcp26/bio18/bioclim_chclim25_future_2020_2049_rcp26_bio18.tif;yes
bioclim;chclim25;bio18;present;NA;1981_2010;1981;2010;NA;NA;precipitation of warmest quarter;millimeter;./bioclim/chclim25/present/1981_2010/bio18/bioclim_chclim25_present_1981_2010_bio18.tif;yes
bioclim;chclim25;bio18;future;rcp85;2020_2049;2020;2049;NA;NA;precipitation of warmest quarter;millimeter;./bioclim/chclim25/future/2020_2049/rcp85/bio18/bioclim_chclim25_future_2020_2049_rcp85_bio18.tif;yes
bioclim;chclim25;bio18;future;rcp85;2070_2099;2070;2099;NA;NA;precipitation of warmest quarter;millimeter;./bioclim/chclim25/future/2070_2099/rcp85/bio18/bioclim_chclim25_future_2070_2099_rcp85_bio18.tif;yes
bioclim;chclim25;bio18;future;rcp85;2045_2070;2045;2070;NA;NA;precipitation of warmest quarter;millimeter;./bioclim/chclim25/future/2045_2070/rcp85/bio18/bioclim_chclim25_future_2045_2070_rcp85_bio18.tif;yes
bioclim;chclim25;bio18;future;rcp45;2020_2049;2020;2049;NA;NA;precipitation of warmest quarter;millimeter;./bioclim/chclim25/future/2020_2049/rcp45/bio18/bioclim_chclim25_future_2020_2049_rcp45_bio18.tif;yes
bioclim;chclim25;bio19;future;rcp26;2045_2070;2045;2070;NA;NA;precipitation of coldest quarter;millimeter;./bioclim/chclim25/future/2045_2070/rcp26/bio19/bioclim_chclim25_future_2045_2070_rcp26_bio19.tif;yes
bioclim;chclim25;bio19;future;rcp26;2070_2099;2070;2099;NA;NA;precipitation of coldest quarter;millimeter;./bioclim/chclim25/future/2070_2099/rcp26/bio19/bioclim_chclim25_future_2070_2099_rcp26_bio19.tif;yes
bioclim;chclim25;bio19;future;rcp45;2045_2070;2045;2070;NA;NA;precipitation of coldest quarter;millimeter;./bioclim/chclim25/future/2045_2070/rcp45/bio19/bioclim_chclim25_future_2045_2070_rcp45_bio19.tif;yes
bioclim;chclim25;bio19;future;rcp85;2020_2049;2020;2049;NA;NA;precipitation of coldest quarter;millimeter;./bioclim/chclim25/future/2020_2049/rcp85/bio19/bioclim_chclim25_future_2020_2049_rcp85_bio19.tif;yes
bioclim;chclim25;bio19;present;NA;1981_2010;1981;2010;NA;NA;precipitation of coldest quarter;millimeter;./bioclim/chclim25/present/1981_2010/bio19/bioclim_chclim25_present_1981_2010_bio19.tif;yes
bioclim;chclim25;bio19;future;rcp85;2045_2070;2045;2070;NA;NA;precipitation of coldest quarter;millimeter;./bioclim/chclim25/future/2045_2070/rcp85/bio19/bioclim_chclim25_future_2045_2070_rcp85_bio19.tif;yes
bioclim;chclim25;bio19;future;rcp85;2070_2099;2070;2099;NA;NA;precipitation of coldest quarter;millimeter;./bioclim/chclim25/future/2070_2099/rcp85/bio19/bioclim_chclim25_future_2070_2099_rcp85_bio19.tif;yes
bioclim;chclim25;bio19;future;rcp26;2020_2049;2020;2049;NA;NA;precipitation of coldest quarter;millimeter;./bioclim/chclim25/future/2020_2049/rcp26/bio19/bioclim_chclim25_future_2020_2049_rcp26_bio19.tif;yes
bioclim;chclim25;bio19;future;rcp45;2020_2049;2020;2049;NA;NA;precipitation of coldest quarter;millimeter;./bioclim/chclim25/future/2020_2049/rcp45/bio19/bioclim_chclim25_future_2020_2049_rcp45_bio19.tif;yes
bioclim;chclim25;bio19;future;rcp45;2070_2099;2070;2099;NA;NA;precipitation of coldest quarter;millimeter;./bioclim/chclim25/future/2070_2099/rcp45/bio19/bioclim_chclim25_future_2070_2099_rcp45_bio19.tif;yes
